utc_time_id,source_id,primary_link_source_flag,avg_speed,avg_flow,avg_occ,avg_freeflow_speed,avg_travel_time,high_quality_samples,samples_below_100pct_ff,samples_below_95pct_ff,samples_below_90pct_ff,samples_below_85pct_ff,samples_below_80pct_ff,samples_below_75pct_ff,samples_below_70pct_ff,samples_below_65pct_ff,samples_below_60pct_ff,samples_below_55pct_ff,samples_below_50pct_ff,samples_below_45pct_ff,samples_below_40pct_ff,samples_below_35pct_ff,samples_below_30pct_ff,samples_below_25pct_ff,samples_below_20pct_ff
02/06/2016 10:53,402265,13,0.08,71,10,0.06,65,7,0.06,65,,,,,,,,,,,,,,,
30/06/2016 8:19,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
01/04/2016 5:48,402265,1,0.01,71,0,0,0,0,0.01,0,,,,,,,,,,,,,,,
24/03/2016 4:06,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
08/06/2016 10:14,402265,14,0.08,71,13,0.09,65,6,0.1,65,,,,,,,,,,,,,,,
04/07/2016 8:26,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20/02/2016 10:45,402264,0,0,0,17,0.1,71,6,0.03,78,,,,,,,,,,,,,,,
19/05/2016 12:58,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
13/07/2016 22:01,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
04/01/2016 19:33,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
10/08/2016 20:10,402264,12,0.0694,94,14,0.08,71,0,1,0,,,,,,,,,,,,,,,
19/05/2016 11:58,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
25/03/2016 0:48,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
11/04/2016 20:49,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
04/07/2016 11:46,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
13/07/2016 11:39,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
18/06/2016 10:24,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
31/07/2016 8:44,402264,4,0.02,109,1,0.01,78,0,0,0,,,,,,,,,,,,,,,
31/07/2016 11:35,402264,13,0.0694,102,9,0.05,71,0,0,0,,,,,,,,,,,,,,,
19/05/2016 21:59,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
30/03/2016 20:47,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
10/08/2016 8:56,402264,8,0.05,87,8,0.05,71,0,1,0,,,,,,,,,,,,,,,
09/05/2016 22:56,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
11/08/2016 6:55,402266,1,0,78,0,0,0,2,0.01,56,,,,,,,,,,,,,,,
04/01/2016 6:57,402267,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
